name	gisaid_epi_isl	date	country	loc
Belgium_ULG-25115_2022	EPI_ISL_10638767	2022-02-04	Belgium	bg
Belgium_ULG-25120_2022	EPI_ISL_10638761	2022-02-04	Belgium	bg
Belgium_ULG-25088_2022	EPI_ISL_10638732	2022-02-05	Belgium	bg
Belgium_UMONS-P042564201_2021	EPI_ISL_7544964	2021-12-06	Belgium	bg
Belgium_UMONS-J768199101_2022	EPI_ISL_10645474	2022-02-15	Belgium	bg
Belgium_UMONS-J768283701_2022	EPI_ISL_10645464	2022-02-15	Belgium	bg
Belgium_UMONS-J768763801_2022	EPI_ISL_10645475	2022-02-16	Belgium	bg
Belgium_Jessa_11-2209-000998ZOL_2022	EPI_ISL_10640347	2022-02-28	Belgium	bg
Belgium_ULG-25076_2022	EPI_ISL_10638720	2022-02-04	Belgium	bg
Belgium_Jessa_11-2209-000932ZOL_2022	EPI_ISL_10640336	2022-02-28	Belgium	bg
Belgium_Jessa_11-2209-000986ZOL_2022	EPI_ISL_10640339	2022-02-28	Belgium	bg
Belgium_UMONS-J769700701_2022	EPI_ISL_10645497	2022-02-19	Belgium	bg
Belgium_ULG-25064_2022	EPI_ISL_10638709	2022-02-05	Belgium	bg
Belgium_ULG-25118_2022	EPI_ISL_10638759	2022-02-04	Belgium	bg
Belgium_UMONS-L769488701_2022	EPI_ISL_10645502	2022-02-21	Belgium	bg
Belgium_ULG-25084_2022	EPI_ISL_10638728	2022-02-05	Belgium	bg
Belgium_UMONS-J768339801_2022	EPI_ISL_10645476	2022-02-15	Belgium	bg
Belgium_UMONS-P042413401_2021	EPI_ISL_7544942	2021-12-06	Belgium	bg
Belgium_ULG-25098_2022	EPI_ISL_10638742	2022-02-05	Belgium	bg
Belgium_ULG-25099_2022	EPI_ISL_10638743	2022-02-04	Belgium	bg
Belgium_ULG-25104_2022	EPI_ISL_10638748	2022-02-04	Belgium	bg
Belgium_ULG-25101_2022	EPI_ISL_10638745	2022-02-04	Belgium	bg
Belgium_Jessa_11-2209-001010ZOL_2022	EPI_ISL_10640348	2022-02-28	Belgium	bg
